"year","month","cases","autochthonous_cases","imported_cases"
2015,"January",1,0,1
2015,"February",7,0,7
2015,"March",6,0,6
2015,"April",5,0,5
2015,"May",8,0,8
2015,"June",8,0,8
2015,"July",11,0,11
2015,"August",20,0,20
2015,"September",13,0,13
2015,"October",13,0,13
2015,"November",11,0,11
2015,"December",7,0,7
2016,"January",16,0,16
2016,"February",5,0,5
2016,"March",6,0,6
2016,"April",10,0,10
2016,"May",2,0,2
2016,"June",2,0,2
2016,"July",10,0,10
2016,"August",20,0,20
2016,"September",12,0,12
2016,"October",7,0,7
2016,"November",8,0,8
2016,"December",4,0,4
2017,"January",5,0,5
2017,"February",4,0,4
2017,"March",13,0,13
2017,"April",2,0,2
2017,"May",7,0,7
2017,"June",11,0,11
2017,"July",9,0,9
2017,"August",14,0,14
2017,"September",17,0,17
2017,"October",3,0,3
2017,"November",5,0,5
2017,"December",5,0,5
2018,"January",4,0,4
2018,"February",3,0,3
2018,"March",3,0,3
2018,"April",10,0,10
2018,"May",6,0,6
2018,"June",8,0,8
2018,"July",12,0,12
2018,"August",18,0,18
2018,"September",12,0,12
2018,"October",10,0,10
2018,"November",8,0,8
2018,"December",14,0,14
2019,"January",9,0,9
2019,"February",9,0,9
2019,"March",14,0,14
2019,"April",7,0,7
2019,"May",11,0,11
2019,"June",7,0,7
2019,"July",25,0,25
2019,"August",50,0,50
2019,"September",25,0,25
2019,"October",13,0,13
2019,"November",9,0,9
2019,"December",8,0,8
2020,"January",13,0,13
2020,"February",4,0,4
2020,"March",0,0,0
2020,"April",0,0,0
2020,"May",2,0,2
2020,"June",0,0,0
2020,"July",2,0,2
2020,"August",21,10,11
2020,"September",2,1,1
2020,"October",0,0,0
2020,"November",0,0,0
2020,"December",0,0,0
2021,"January",0,0,0
2021,"February",0,0,0
2021,"March",0,0,0
2021,"April",0,0,0
2021,"May",0,0,0
2021,"June",1,0,1
2021,"July",4,0,4
2021,"August",0,0,0
2021,"September",3,0,3
2021,"October",2,0,2
2021,"November",0,0,0
2021,"December",1,0,1
2022,"January",0,0,0
2022,"February",1,0,1
2022,"March",4,0,4
2022,"April",9,0,9
2022,"May",7,0,7
2022,"June",9,0,9
2022,"July",25,0,25
2022,"August",33,0,33
2022,"September",20,0,20
2022,"October",6,0,6
2022,"November",0,0,0
2022,"December",0,0,0
2023,"January",12,0,12
2023,"February",6,0,6
2023,"March",4,0,4
2023,"April",10,0,10
2023,"May",9,0,9
2023,"June",10,0,10
2023,"July",25,0,25
2023,"August",121,32,89
2023,"September",82,22,60
2023,"October",49,23,26
2023,"November",30,5,25
2023,"December",19,0,19
2024,"January",48,0,48
2024,"February",38,0,38
2024,"March",65,0,65
2024,"April",59,0,59
2024,"May",84,0,84
2024,"June",27,1,26
2024,"July",56,1,55
2024,"August",79,3,76
2024,"September",5,0,5
